word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
exhaustif,ADJ,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,exhaustif,A,exhaustif,ADJ
infarctus,NOUN,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,infarctus,N,infarctus,NOM
nippon,ADJ,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,nippon,A,nippon,ADJ
ostéoporose,NOUN,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,ostéoporose,N,ostéoporose,NOM
psychosocial,ADJ,C2,beacco,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,32.4689,0.079,0.0,0.0,0.0,0.0,0.0,12.833,0.0975,C2,word_pos,psychosocial,A,psychosocial,ADJ
métamorphose,NOUN,C2,beacco,28.8683,1.9091,0.0,0.0,0.3618,0.0,12.4046,28.8683,1.9091,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,métamorphose,N,métamorphose,NOM
langagier,ADJ,C2,beacco,28.8683,1.0029,0.0,0.0,0.6228,0.0,0.0,28.8683,1.0029,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,langagier,A,langagier,ADJ
stimulant,NOUN,C2,beacco,28.8683,0.6025,0.0,0.3702,0.0,0.0,0.0,28.8683,0.6025,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,stimulant,N,stimulant,NOM
affluer,VERB,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,affluer,V,affluer,VER
amphibien,NOUN,C2,crf_first_attested,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,,,,,,,,,crf_only,amphibien,N,,
assujettir,VERB,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,assujettir,V,assujettir,VER
au fil du temps,ADV,C2,crf_first_attested,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,,,,,,,,,crf_only,au fil du temps,ADV,,
beau - parent,NOUN,C2,crf_first_attested,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,,,,,,,,,crf_only,beau - parent,N,,
carbonifère,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,carbonifère,N,carbonifère,NOM
chambouler,VERB,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,chambouler,V,chambouler,VER
continuum,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,continuum,N,continuum,NOM
contre - pouvoir,NOUN,C2,crf_first_attested,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,,,,,,,,,crf_only,contre - pouvoir,N,,
diplômé,ADJ,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,57.984,0.4293,C2,word_pos,diplômé,A,diplômé,ADJ
distractif,ADJ,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,distractif,A,distractif,ADJ
en échec,ADV,C2,crf_first_attested,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,,,,,,,,,crf_only,en échec,ADV,,
fat,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,fat,N,fat,NOM
fragmentation,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,fragmentation,N,fragmentation,NOM
hygiéniste,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,hygiéniste,N,hygiéniste,NOM
immédiateté,NOUN,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,immédiateté,N,immédiateté,NOM
impréciser,VERB,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,impréciser,V,impréciser,VER
inexorable,ADJ,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,inexorable,A,inexorable,ADJ
institutionnaliser,VERB,C2,beacco,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,28.8683,0.0702,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,institutionnaliser,V,institutionnaliser,VER
