word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos,normalized_word,normalized_pos,crf_source_row,beacco_source_row
expéditions,NOUN,B1,crf_first_attested,1.9669,0.9984,0.0,0.0,1.9669,0.0,3.2084,0.0,0.9984,,,,,,,,,crf_only,expéditions,N,,,expéditions,NOUN,6523,
bonnet,NOUN,B1,beacco,1.9564,6.9496,1.2205,7.0746,1.9564,21.4046,0.0,0.0,6.9496,0.8075,1.2017,3.7375,8.3751,0.0,0.0,5.3717,B1,word_pos,bonnet,N,bonnet,NOM,bonnet,NOUN,2009,1531.0
humanitaire,ADJ,B1,beacco,1.9564,6.055,0.0,23.2746,1.9564,0.7062,1.6042,0.0,6.055,0.0,10.424,5.4506,1.2705,6.8846,0.0,8.355,B1,word_pos,humanitaire,A,humanitaire,ADJ,humanitaire,ADJ,8008,6267.0
guillotine,NOUN,B1,beacco,1.9564,4.436,0.0,2.803,1.9564,3.1713,12.4046,0.0,4.436,0.0,1.2017,0.5531,0.8102,6.0005,0.0,2.8494,B1,word_pos,guillotine,N,guillotine,NOM,guillotine,NOUN,7659,5980.0
loin de là,ADV,B1,crf_first_attested,1.9564,1.075,0.0,0.0,1.9564,0.0,6.2023,0.0,1.075,,,,,,,,,crf_only,loin de là,ADV,,,loin de là,ADV,9543,
quasi - totalité,NOUN,B1,crf_first_attested,1.9564,1.0104,0.0,0.0,1.9564,0.0,3.2084,0.0,1.0104,,,,,,,,,crf_only,quasi - totalité,N,,,quasi - totalité,NOUN,13178,
à défaut de,PREP,B1,crf_first_attested,1.9454,1.6346,0.0,0.0,1.9454,0.0,15.6669,0.0,1.6346,,,,,,,,,crf_only,à défaut de,PREP,,,à défaut de,PREP,17178,
dix mille,DET,B1,crf_first_attested,1.9454,1.4011,0.0,0.0,1.9454,6.8065,0.0,0.0,1.4011,,,,,,,,,crf_only,dix mille,DET,,,dix mille,DET,4895,
au juste,ADV,B1,crf_first_attested,1.9454,0.7804,0.0,0.0,1.9454,0.0,2.0505,0.0,0.7804,,,,,,,,,crf_only,au juste,ADV,,,au juste,ADV,1257,
ronde,NOUN,B1,beacco,1.9237,3.5251,3.6283,0.0,1.9237,1.6517,0.0,0.0,3.5251,1.6691,14.0375,0.4665,0.0,0.0,0.0,4.9515,B1,word_pos,ronde,N,ronde,NOM,ronde,NOUN,13960,11246.0
résidu,NOUN,B1,beacco,1.9237,2.4639,0.0,1.2835,1.9237,0.0,3.1012,0.0,2.4639,0.0,1.2456,0.4665,0.0,6.0005,0.0,1.8007,B1,word_pos,résidu,N,résidu,NOM,résidu,NOUN,14263,11530.0
